corr_type,instance_file,obj_value,runtime
fully-correlated,id_7_objs_500_size_775_sets_93_maxNumConflicts_10_maxCost_26_fully-correlated.txt,2093.0,0.44
fully-correlated,id_7_objs_700_size_1085_sets_97_maxNumConflicts_14_maxCost_25_fully-correlated.txt,3147.0,1.95
fully-correlated,id_7_objs_800_size_1240_sets_86_maxNumConflicts_16_maxCost_25_fully-correlated.txt,3497.0,3.25
fully-correlated,id_8_objs_1000_size_1550_sets_94_maxNumConflicts_20_maxCost_26_fully-correlated.txt,4408.0,8.00
fully-correlated,id_8_objs_300_size_465_sets_74_maxNumConflicts_6_maxCost_26_fully-correlated.txt,1295.0,0.06
fully-correlated,id_8_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_25_fully-correlated.txt,2104.0,0.45
fully-correlated,id_8_objs_700_size_1085_sets_94_maxNumConflicts_14_maxCost_26_fully-correlated.txt,3156.0,1.50
fully-correlated,id_8_objs_800_size_1240_sets_87_maxNumConflicts_16_maxCost_25_fully-correlated.txt,3658.0,3.24
fully-correlated,id_9_objs_1000_size_1550_sets_91_maxNumConflicts_20_maxCost_19_fully-correlated.txt,4443.0,7.06
fully-correlated,id_9_objs_300_size_465_sets_72_maxNumConflicts_6_maxCost_26_fully-correlated.txt,1269.0,0.05
fully-correlated,id_9_objs_500_size_775_sets_78_maxNumConflicts_10_maxCost_21_fully-correlated.txt,2072.0,0.45
fully-correlated,id_9_objs_700_size_1085_sets_84_maxNumConflicts_14_maxCost_19_fully-correlated.txt,3062.0,1.74
fully-correlated,id_9_objs_800_size_1240_sets_92_maxNumConflicts_16_maxCost_30_fully-correlated.txt,3433.0,3.27
not-correlated,id_10_objs_1000_size_1550_sets_93_maxNumConflicts_20_maxCost_20_not-correlated.txt,5314.0,7.32
not-correlated,id_10_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_20_not-correlated.txt,1590.0,0.06
not-correlated,id_10_objs_500_size_775_sets_81_maxNumConflicts_10_maxCost_20_not-correlated.txt,2752.0,0.42
not-correlated,id_10_objs_700_size_1085_sets_89_maxNumConflicts_14_maxCost_20_not-correlated.txt,3665.0,1.74
not-correlated,id_10_objs_800_size_1240_sets_84_maxNumConflicts_16_maxCost_20_not-correlated.txt,4159.0,3.60
not-correlated,id_1_objs_1000_size_1550_sets_89_maxNumConflicts_20_maxCost_20_not-correlated.txt,5136.0,7.71
not-correlated,id_1_objs_300_size_465_sets_76_maxNumConflicts_6_maxCost_20_not-correlated.txt,1612.0,0.06
not-correlated,id_1_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_20_not-correlated.txt,2586.0,0.39
not-correlated,id_1_objs_700_size_1085_sets_91_maxNumConflicts_14_maxCost_20_not-correlated.txt,3542.0,1.75
not-correlated,id_1_objs_800_size_1240_sets_85_maxNumConflicts_16_maxCost_20_not-correlated.txt,4068.0,3.66
not-correlated,id_2_objs_1000_size_1550_sets_87_maxNumConflicts_20_maxCost_20_not-correlated.txt,5060.0,7.73
not-correlated,id_2_objs_300_size_465_sets_74_maxNumConflicts_6_maxCost_20_not-correlated.txt,1605.0,0.06
not-correlated,id_2_objs_500_size_775_sets_79_maxNumConflicts_10_maxCost_20_not-correlated.txt,2633.0,0.46
not-correlated,id_2_objs_700_size_1085_sets_80_maxNumConflicts_14_maxCost_20_not-correlated.txt,3546.0,2.01
not-correlated,id_2_objs_800_size_1240_sets_95_maxNumConflicts_16_maxCost_20_not-correlated.txt,4097.0,2.86
not-correlated,id_3_objs_1000_size_1550_sets_88_maxNumConflicts_20_maxCost_20_not-correlated.txt,5411.0,7.96
not-correlated,id_3_objs_300_size_465_sets_74_maxNumConflicts_6_maxCost_20_not-correlated.txt,1501.0,0.06
not-correlated,id_3_objs_500_size_775_sets_80_maxNumConflicts_10_maxCost_20_not-correlated.txt,2646.0,0.45
not-correlated,id_3_objs_700_size_1085_sets_84_maxNumConflicts_14_maxCost_20_not-correlated.txt,3592.0,1.73
not-correlated,id_3_objs_800_size_1240_sets_96_maxNumConflicts_16_maxCost_20_not-correlated.txt,3955.0,3.16
not-correlated,id_4_objs_1000_size_1550_sets_97_maxNumConflicts_20_maxCost_20_not-correlated.txt,5263.0,7.53
not-correlated,id_4_objs_300_size_465_sets_77_maxNumConflicts_6_maxCost_20_not-correlated.txt,1761.0,0.05
not-correlated,id_4_objs_500_size_775_sets_84_maxNumConflicts_10_maxCost_20_not-correlated.txt,2441.0,0.41
not-correlated,id_4_objs_700_size_1085_sets_86_maxNumConflicts_14_maxCost_20_not-correlated.txt,3442.0,1.76
not-correlated,id_4_objs_800_size_1240_sets_91_maxNumConflicts_16_maxCost_20_not-correlated.txt,4258.0,2.97
not-correlated,id_5_objs_1000_size_1550_sets_90_maxNumConflicts_20_maxCost_20_not-correlated.txt,4999.0,7.22
not-correlated,id_5_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_20_not-correlated.txt,1571.0,0.07
not-correlated,id_5_objs_500_size_775_sets_84_maxNumConflicts_10_maxCost_20_not-correlated.txt,2572.0,0.42
not-correlated,id_5_objs_700_size_1085_sets_86_maxNumConflicts_14_maxCost_20_not-correlated.txt,3632.0,1.93
not-correlated,id_5_objs_800_size_1240_sets_86_maxNumConflicts_16_maxCost_20_not-correlated.txt,4018.0,3.44
not-correlated,id_6_objs_1000_size_1550_sets_93_maxNumConflicts_20_maxCost_20_not-correlated.txt,5346.0,6.95
not-correlated,id_6_objs_300_size_465_sets_79_maxNumConflicts_6_maxCost_20_not-correlated.txt,1644.0,0.06
